metric,n,mean,std,median,min,max
test_backtest_softmax_median_turnover,39,0.5884135222558922,0.5939375527276409,0.39286406503105303,7.890255180401374e-73,1.9891330926038118
test_backtest_softmax_avg_holdings,39,62.10244313856793,42.931559169574776,55.81609195402299,3.6666666666666665,116.02721088435374
test_backtest_softmax_final_equity,39,2.8749418046533695,4.934371920851586,1.525028936685813,0.22034828198096246,23.43648143724257
test_backtest_top5_gross_mean_daily,39,0.012022144076363352,0.013271884161278846,0.009804628637095053,-0.008591567190510598,0.040328890564329596
test_backtest_top5_net_mean_daily,39,0.011094446395463699,0.012871697205502387,0.00929646537178893,-0.008647122746066153,0.03938751125398478
test_backtest_top5_gross_sharpe,39,1.5565552537066882,1.827243381992598,1.984004057346958,-2.7060843203140363,5.620676385838073
test_backtest_top5_net_sharpe,39,1.4051206898615405,1.7837332479907717,1.7982623243027305,-2.7165034071822833,5.271255485470987
test_backtest_top5_net_sortino,39,4.118009409187089,4.977918772382098,3.458169611730953,-4.126711653676038,16.64017265306673
test_backtest_top5_net_ann_return,39,151.64730180103635,438.7173276864632,2.9299565652006225,-0.9192999225326293,2351.731303350608
test_backtest_top5_max_drawdown,39,-0.3470787624702118,0.15303628518642562,-0.31474941052896743,-0.6037095812901452,-0.1363090948212552
test_backtest_top5_calmar,39,543.7816516820523,1547.537152229933,9.335735259170361,-4.26399398086233,7511.31103937649
test_backtest_top5_avg_turnover,39,0.6184651205997677,0.4216821207659387,0.7170068027210885,0.037037037037037035,1.4598639455782312
test_backtest_top5_median_turnover,39,0.6256410256410256,0.4660686355135333,0.8,0.0,1.6
test_backtest_top5_avg_holdings,39,5.0,0.0,5.0,5.0,5.0
test_backtest_top5_final_equity,39,3.9987321536296077,6.084734819763086,1.6667688759522405,0.7636236176504475,31.079899084684147
test_backtest_top10_gross_mean_daily,39,0.013615697461410342,0.006880649211762197,0.011910506091455183,-0.0030970953214111644,0.02911576590617522
test_backtest_top10_net_mean_daily,39,0.012738574693647179,0.006734210894617979,0.01171447403767296,-0.003985984210300053,0.02821921418203729
test_backtest_top10_gross_sharpe,39,2.6819644322771126,1.2533998484838718,2.425010057414991,-0.9220739516518073,5.302519958626635
test_backtest_top10_net_sharpe,39,2.5045320303893943,1.2454228696891145,2.354976013272915,-1.1873708428235112,5.137062890967707
test_backtest_top10_net_sortino,39,6.110481231935428,3.844408892613351,5.4832865198213145,-2.0565382282538347,17.38433564792637
test_backtest_top10_net_ann_return,39,44.42418563364624,99.6593130003818,8.289111205145197,-0.744133816639262,494.9556413224325
test_backtest_top10_max_drawdown,39,-0.31990862270029924,0.1576902501649014,-0.237433111460712,-0.65302882007328,-0.13104978543981105
test_backtest_top10_calmar,39,198.04942789241733,457.15334038758226,28.943011851566343,-3.3240916261168674,2196.7208871146545
test_backtest_top10_avg_turnover,39,0.584748511842108,0.4075713371993406,0.627586206896552,0.08148148148148149,1.3823129251700683
test_backtest_top10_median_turnover,39,0.5538461538461539,0.45528831457957775,0.6,0.0,1.6
test_backtest_top10_avg_holdings,39,10.0,0.0,10.0,10.0,10.0
test_backtest_top10_final_equity,39,2.9210052585667947,2.057195628088013,2.1722684301616533,0.8641175184017094,8.522549847113531
valid_prediction_metrics_mse,39,190.27346399062813,546.4707640032719,9.427192502713336,1.2074144027269027,2377.5628815628816
valid_prediction_metrics_IC,39,0.02015453086560874,0.01432317317534502,0.02140053321528628,-0.020147317413426145,0.04857842739428993
valid_prediction_metrics_RIC,39,0.03562800165422259,0.02136049966812759,0.03877798358613919,-0.009622622500794214,0.07020512447476077
valid_prediction_metrics_ICIR,39,0.21204775913227644,0.13830495825963673,0.2332212535183945,-0.15129495336255402,0.48643545787033426
valid_prediction_metrics_RICIR,39,0.2989031056452052,0.17805024035315659,0.3048183011020228,-0.0781688900808364,0.587653386443776
valid_prediction_metrics_prec_10,39,0.5184778184778184,0.015842126081563452,0.523015873015873,0.4845238095238095,0.5452380952380952
test_prediction_metrics_mse,39,1313.4809863096855,4273.118257529888,21.383640986071537,1.0582958968918168,18884.622850967677
test_prediction_metrics_IC,39,0.0047511922590606015,0.011117853316512745,0.0019525110718402628,-0.011717840626944465,0.03699949398602381
test_prediction_metrics_RIC,39,0.013787225282418691,0.016313186505450383,0.016604038584981835,-0.02762122601317807,0.049530370258420914
test_prediction_metrics_ICIR,39,0.0514500316126134,0.1154018749937984,0.034459862853656695,-0.16754565896021145,0.3197220922308867
test_prediction_metrics_RICIR,39,0.1157664652199204,0.14381562814088533,0.13227789362137923,-0.2554779891967608,0.42271768306823965
test_prediction_metrics_prec_10,39,0.46701445486338766,0.021791518225513406,0.4740740740740741,0.4222222222222222,0.5045977011494253
